Sales_ID,Sales_Date,Product_ID,Quantity
175,2026-04-28,65,36
176,2026-07-23,95,3
177,2026-02-09,41,37
178,2026-12-30,82,27
179,2026-01-11,42,11
180,2026-07-05,12,28
181,2026-10-29,52,34
182,2026-06-23,29,22
183,2026-11-21,15,34
184,2026-06-29,94,10
185,2026-05-12,26,12
186,2026-02-08,23,32
187,2026-10-24,58,37
188,2026-06-15,81,21
189,2026-08-29,57,20
190,2026-06-30,65,5
191,2026-01-20,8,24
192,2026-02-16,79,39
193,2026-10-25,71,3
194,2026-04-07,42,39
195,2026-02-01,58,7
196,2026-09-16,83,12
197,2026-08-13,57,34
198,2026-07-06,48,19
199,2026-12-14,77,4
200,2026-02-03,43,7
201,2026-05-26,33,39
202,2026-10-26,85,10
203,2026-12-24,85,26
204,2026-02-13,40,36
205,2026-03-07,86,34
206,2026-08-05,66,24
207,2026-04-03,28,22
208,2026-03-12,20,5
209,2026-10-04,95,34
210,2026-11-13,17,39
211,2026-04-03,89,40
212,2026-01-23,53,24
213,2026-08-16,79,19
214,2026-05-03,40,31
215,2026-10-20,57,30
216,2026-09-15,68,27
217,2026-03-12,33,4
218,2026-10-11,14,34
219,2026-03-24,35,29
220,2026-02-16,29,29
221,2026-01-28,51,33
222,2026-02-11,48,15
223,2026-11-29,43,10
224,2026-08-30,90,9
225,2026-11-12,1,6
226,2026-03-18,71,39
227,2026-05-28,31,20
228,2026-08-03,82,40
229,2026-09-13,77,35
230,2026-10-22,31,10
231,2026-11-11,46,16
232,2026-12-07,86,6
233,2026-09-27,70,33
234,2026-07-19,61,3
235,2026-05-10,96,2
236,2026-05-04,94,7
237,2026-03-10,6,23
238,2026-03-31,100,30
239,2026-04-04,18,5
240,2026-04-14,6,13
241,2026-09-21,51,35
242,2026-11-28,25,19
243,2026-12-02,43,18
244,2026-07-24,96,29
245,2026-09-12,89,32
246,2026-02-12,94,28
247,2026-04-03,70,19
248,2026-06-17,85,19
249,2026-08-07,22,29
250,2026-06-30,79,28
251,2026-02-08,86,26
252,2026-03-23,4,10
253,2026-01-18,17,5
254,2026-07-07,47,25
255,2026-03-20,87,29
256,2026-02-09,74,9
257,2026-06-10,84,18
258,2026-04-06,64,34
259,2026-05-15,100,17
260,2026-11-10,37,32
261,2026-02-07,58,12
262,2026-06-13,86,23
263,2026-10-05,38,20
264,2026-12-25,82,12
265,2026-03-04,26,9
266,2026-07-04,71,37
267,2026-03-08,79,6
268,2026-09-03,68,27
269,2026-03-06,41,5
270,2026-09-22,45,9
271,2026-04-04,99,9
272,2026-03-05,67,10
273,2026-06-15,91,15
274,2026-02-10,33,13
275,2026-03-06,81,20
276,2026-09-15,83,11
277,2026-03-29,85,40
278,2026-01-22,4,6
279,2026-05-16,84,14
280,2026-11-24,4,32
281,2026-11-25,39,31
282,2026-06-02,59,5
283,2026-08-14,54,31
284,2026-11-07,19,21
285,2026-07-24,17,24
286,2026-06-13,31,30
287,2026-05-07,19,7
288,2026-11-12,54,16
289,2026-06-10,25,11
290,2026-09-13,40,32
291,2026-09-16,59,16
292,2026-01-25,7,19
293,2026-12-11,61,19
294,2026-08-09,18,17
295,2026-07-07,6,26
296,2026-04-10,47,36
297,2026-09-16,58,36
298,2026-11-09,16,9
299,2026-06-23,72,24
300,2026-09-18,52,33
301,2026-03-12,92,22
302,2026-03-18,78,33
303,2026-06-13,21,26
304,2026-10-31,44,33
305,2026-12-29,73,20
306,2026-06-19,87,8
307,2026-12-19,81,2
308,2026-12-02,100,38
309,2026-10-26,62,11
310,2026-07-14,19,16
311,2026-02-26,25,2
312,2026-03-19,53,14
313,2026-08-30,95,4
314,2026-04-17,72,21
315,2026-07-12,41,12
316,2026-10-07,46,17
317,2026-05-07,36,36
318,2026-05-28,91,14
319,2026-06-12,62,23
320,2026-05-28,16,37
321,2026-07-22,45,10
322,2026-02-10,45,29
323,2026-04-20,26,35
324,2026-05-20,18,7
325,2026-05-03,32,4
326,2026-11-23,30,4
327,2026-08-30,13,9
328,2026-07-28,84,31
329,2026-05-28,42,19
330,2026-11-30,74,15
331,2026-03-31,54,12
332,2026-04-06,96,19
333,2026-10-18,78,7
334,2026-11-25,70,34
335,2026-08-28,35,13
336,2026-08-23,83,17
337,2026-06-01,73,13
338,2026-07-27,55,33
339,2026-12-09,13,12
340,2026-05-08,1,17
341,2026-05-17,43,20
342,2026-01-06,34,24
343,2026-12-08,16,30
344,2026-12-18,65,20
345,2026-06-01,48,40
346,2026-09-02,20,30
347,2026-12-26,71,31
348,2026-05-07,88,39
349,2026-09-28,91,24
350,2026-02-01,71,33
351,2026-03-18,22,21
352,2026-12-15,27,38
353,2026-08-17,8,30
354,2026-08-22,73,4
355,2026-06-07,93,2
356,2026-04-22,75,5
357,2026-12-25,9,35
358,2026-01-17,37,27
359,2026-11-25,94,27
360,2026-07-13,49,6
361,2026-03-10,84,23
362,2026-07-21,68,9
363,2026-06-02,60,35
364,2026-04-28,32,30
365,2026-04-07,93,8
366,2026-11-11,99,2
367,2026-02-21,77,3
368,2026-12-27,7,16
369,2026-04-30,70,14
370,2026-05-29,30,37
371,2026-12-11,42,16
372,2026-09-24,29,27
373,2026-10-13,76,12
374,2026-10-12,64,4
375,2026-07-15,68,21
376,2026-03-18,39,25
377,2026-08-31,31,15
378,2026-08-26,8,36
379,2026-09-29,18,25
380,2026-06-19,83,6
381,2026-10-02,93,13
382,2026-12-11,78,39
383,2026-10-28,93,36
384,2026-06-20,39,1
385,2026-09-03,32,39
386,2026-05-03,71,21
387,2026-10-01,84,23
388,2026-09-20,64,30
389,2026-06-13,27,24
390,2026-10-16,29,10
391,2026-10-27,75,27
392,2026-06-18,30,25
393,2026-10-09,84,22
394,2026-11-25,95,32
395,2026-03-28,18,35
396,2026-11-25,8,34
397,2026-01-25,98,1
398,2026-04-29,9,10
399,2026-08-22,48,4
400,2026-11-12,62,32
401,2026-10-10,53,1
402,2026-10-02,37,2
403,2026-08-09,23,7
404,2026-05-04,25,40
405,2026-05-17,51,6
406,2026-10-17,32,15
407,2026-12-01,84,3
408,2026-07-13,71,31
409,2026-12-26,22,6
410,2026-06-19,73,7
411,2026-04-19,89,37
412,2026-02-08,88,18
413,2026-01-17,23,21
414,2026-03-15,97,26
415,2026-10-16,31,37
416,2026-06-19,50,9
417,2026-09-14,96,23
418,2026-04-29,10,22
419,2026-11-01,51,21
420,2026-08-19,63,15
421,2026-08-10,24,38
422,2026-11-13,38,16
423,2026-03-20,49,10
424,2026-02-24,12,1
425,2026-05-19,14,9
426,2026-08-18,72,36
427,2026-01-14,12,23
428,2026-11-03,42,25
429,2026-07-18,100,6
430,2026-09-24,22,25
431,2026-06-04,35,32
432,2026-08-11,36,27
433,2026-07-04,33,16
434,2026-11-12,26,30
435,2026-01-04,51,22
436,2026-08-14,43,28
437,2026-06-03,42,39
438,2026-06-10,23,26
439,2026-11-21,63,37
440,2026-05-24,51,24
441,2026-10-31,70,12
442,2026-01-14,94,30
443,2026-05-30,89,5
444,2026-03-13,82,20
445,2026-03-20,92,28
446,2026-11-03,62,38
447,2026-12-21,54,35
448,2026-10-02,77,6
449,2026-12-03,86,23
450,2026-01-23,73,26
451,2026-01-06,13,17
452,2026-10-13,75,37
453,2026-07-20,60,38
454,2026-06-26,4,31
455,2026-02-13,15,10
456,2026-08-22,27,34
457,2026-02-19,57,29
458,2026-01-23,91,8
459,2026-02-25,87,11
460,2026-10-10,21,22
461,2026-04-29,52,12
462,2026-08-10,51,2
463,2026-10-31,55,25
464,2026-04-16,36,5
465,2026-04-06,47,21
466,2026-05-15,86,32
467,2026-11-02,50,40
468,2026-06-28,46,30
469,2026-12-28,39,40
470,2026-03-10,41,8
471,2026-04-04,48,10
472,2026-11-02,18,37
473,2026-09-07,82,35
474,2026-10-12,22,32
475,2026-06-11,58,40
476,2026-09-06,18,13
477,2026-12-01,64,27
478,2026-12-30,57,32
479,2026-01-16,98,15
480,2026-04-26,69,19
481,2026-10-17,96,32
482,2026-10-21,15,18
483,2026-01-22,98,29
484,2026-02-22,95,16
485,2026-05-15,45,6
486,2026-04-18,95,38
487,2026-11-09,81,28
488,2026-04-16,27,4
489,2026-05-24,77,35
490,2026-05-30,38,37
491,2026-02-18,18,27
492,2026-03-06,90,9
493,2026-05-07,98,26
494,2026-11-20,35,27
495,2026-11-21,99,6
496,2026-12-22,48,30
497,2026-01-02,100,6
498,2026-12-24,46,5
499,2026-08-08,28,32
500,2026-06-22,71,37
