Purchase_ID,Purchase_Date,Product_ID,Quantity
92,2026-03-06,65,85
93,2026-02-21,68,68
94,2026-07-29,84,29
95,2026-06-23,80,98
96,2026-06-18,87,78
97,2026-10-05,5,89
98,2026-04-27,96,21
99,2026-08-16,22,98
100,2026-06-16,8,47
101,2026-03-16,32,77
102,2026-03-29,23,20
103,2026-12-16,31,73
104,2026-08-25,82,42
105,2026-08-27,37,96
106,2026-08-15,45,85
107,2026-12-20,33,68
108,2026-09-05,14,40
109,2026-10-22,38,99
110,2026-05-21,2,82
111,2026-11-07,96,73
112,2026-11-07,46,38
113,2026-05-09,87,94
114,2026-11-18,83,15
115,2026-10-24,47,26
116,2026-08-01,23,35
117,2026-09-29,65,44
118,2026-06-01,96,53
119,2026-03-14,97,38
120,2026-10-13,47,21
121,2026-10-02,16,68
122,2026-10-27,49,91
123,2026-08-30,4,89
124,2026-04-24,83,18
125,2026-11-29,53,24
126,2026-06-05,64,24
127,2026-03-11,50,68
128,2026-08-03,76,29
129,2026-09-08,79,62
130,2026-04-22,57,66
131,2026-12-18,48,79
132,2026-07-23,36,34
133,2026-12-06,28,92
134,2026-01-26,43,41
135,2026-02-05,98,80
136,2026-04-30,43,28
137,2026-03-16,17,79
138,2026-12-05,4,26
139,2026-10-29,42,12
140,2026-03-06,95,63
141,2026-09-01,58,56
142,2026-08-20,65,38
143,2026-06-04,59,92
144,2026-07-25,55,97
145,2026-02-07,11,51
146,2026-03-06,36,89
147,2026-12-31,42,58
148,2026-08-21,65,87
149,2026-12-02,84,80
150,2026-04-27,53,53
151,2026-02-18,41,64
152,2026-07-11,20,97
153,2026-02-13,12,65
154,2026-03-08,72,17
155,2026-06-18,86,25
156,2026-01-27,37,86
157,2026-10-23,65,37
158,2026-04-25,14,54
159,2026-05-23,74,38
160,2026-11-11,87,92
161,2026-12-03,89,44
162,2026-12-26,98,49
163,2026-04-03,19,82
164,2026-03-14,95,91
165,2026-04-21,49,63
166,2026-07-09,40,51
167,2026-01-27,20,30
168,2026-05-20,57,94
169,2026-08-15,54,44
170,2026-02-28,45,65
171,2026-09-07,68,95
172,2026-07-22,77,17
173,2026-04-19,99,27
174,2026-03-03,1,73
175,2026-07-14,69,100
176,2026-12-09,46,19
177,2026-08-12,3,68
178,2026-08-08,74,61
179,2026-05-29,15,61
180,2026-11-13,59,98
181,2026-02-24,32,65
182,2026-02-10,51,49
183,2026-03-28,10,75
184,2026-09-19,25,54
185,2026-05-01,14,28
186,2026-11-05,20,93
187,2026-08-26,97,82
188,2026-11-26,82,89
189,2026-03-19,57,18
190,2026-05-21,76,17
191,2026-06-08,60,67
192,2026-05-27,10,92
193,2026-09-17,50,69
194,2026-08-19,74,93
195,2026-09-01,65,29
196,2026-06-25,92,20
197,2026-01-21,32,100
198,2026-09-25,79,30
199,2026-07-18,53,53
200,2026-11-20,83,52
201,2026-10-13,87,59
202,2026-03-18,43,20
203,2026-06-29,40,93
204,2026-03-08,77,100
205,2026-07-12,83,52
206,2026-02-17,83,95
207,2026-01-10,47,49
208,2026-09-06,25,38
209,2026-06-01,13,74
210,2026-01-20,85,53
211,2026-07-12,20,30
212,2026-03-26,93,66
213,2026-12-13,93,40
214,2026-08-18,30,78
215,2026-04-10,48,96
216,2026-05-25,100,58
217,2026-03-24,26,87
218,2026-11-25,62,57
219,2026-03-05,37,20
220,2026-09-20,19,65
221,2026-06-28,4,63
222,2026-07-11,31,59
223,2026-01-15,41,22
224,2026-03-12,5,46
225,2026-12-28,61,67
226,2026-01-10,33,37
227,2026-09-28,55,24
228,2026-03-04,7,40
229,2026-08-23,9,24
230,2026-01-09,81,75
231,2026-05-30,55,10
232,2026-10-20,54,33
233,2026-09-26,47,18
234,2026-09-17,71,12
235,2026-11-22,50,57
236,2026-07-02,9,54
237,2026-10-25,95,52
238,2026-10-07,44,92
239,2026-12-23,62,90
240,2026-08-23,5,47
241,2026-01-22,41,49
242,2026-08-31,33,14
243,2026-07-02,100,16
244,2026-03-05,48,65
245,2026-07-17,44,33
246,2026-07-08,67,44
247,2026-02-10,56,87
248,2026-06-14,14,20
249,2026-06-06,58,87
250,2026-06-29,58,15
251,2026-05-21,82,17
252,2026-07-06,66,96
253,2026-11-08,87,66
254,2026-05-01,100,92
255,2026-10-18,5,87
256,2026-07-09,48,66
257,2026-09-29,47,60
258,2026-05-08,15,13
259,2026-07-18,72,25
260,2026-12-27,58,37
261,2026-04-13,16,27
262,2026-08-16,12,97
263,2026-12-30,9,80
264,2026-03-22,92,100
265,2026-07-05,66,38
266,2026-05-02,64,13
267,2026-07-08,60,80
268,2026-02-03,40,60
269,2026-07-29,74,19
270,2026-08-19,60,97
271,2026-10-10,82,85
272,2026-08-10,65,17
273,2026-06-05,22,30
274,2026-06-27,67,46
275,2026-11-22,71,45
276,2026-11-11,69,21
277,2026-10-31,75,29
278,2026-11-06,44,82
279,2026-01-24,83,83
280,2026-10-20,54,89
281,2026-11-18,70,47
282,2026-05-06,88,61
283,2026-12-19,8,30
284,2026-08-26,27,53
285,2026-06-13,94,54
286,2026-09-21,72,23
287,2026-03-04,35,67
288,2026-01-26,38,59
289,2026-03-23,42,83
290,2026-09-13,66,69
291,2026-01-12,12,60
292,2026-04-21,75,55
293,2026-09-11,77,93
294,2026-10-02,2,23
295,2026-07-07,98,61
296,2026-01-27,73,81
297,2026-05-28,10,59
298,2026-05-24,80,97
299,2026-02-19,51,57
300,2026-03-15,26,87
301,2026-01-21,6,14
302,2026-08-31,67,68
303,2026-03-13,42,88
304,2026-11-12,95,48
305,2026-09-18,69,72
306,2026-09-01,3,57
307,2026-08-02,75,49
308,2026-11-02,61,43
309,2026-10-23,30,16
310,2026-09-26,81,89
311,2026-01-17,74,99
312,2026-08-14,41,63
313,2026-07-30,65,88
314,2026-12-28,18,76
315,2026-12-06,62,77
316,2026-08-24,69,53
317,2026-11-09,62,34
318,2026-06-02,29,48
319,2026-12-20,91,72
320,2026-10-14,93,45
321,2026-12-13,70,58
322,2026-05-29,6,46
323,2026-12-02,33,71
324,2026-05-19,72,99
325,2026-11-12,95,85
326,2026-12-09,68,38
327,2026-02-21,53,52
328,2026-01-03,71,30
329,2026-09-02,84,35
330,2026-11-27,8,21
331,2026-10-01,95,14
332,2026-01-19,51,73
333,2026-01-20,2,48
334,2026-06-21,37,68
335,2026-09-10,18,74
336,2026-02-27,43,30
337,2026-04-06,2,53
338,2026-03-31,79,91
339,2026-06-17,12,61
340,2026-03-13,62,51
341,2026-07-16,31,67
342,2026-10-26,93,83
343,2026-12-21,31,17
344,2026-06-07,21,61
345,2026-12-20,16,91
346,2026-04-24,29,27
347,2026-11-07,48,63
348,2026-10-03,86,37
349,2026-02-11,68,67
350,2026-02-09,73,24
351,2026-04-14,74,78
352,2026-09-24,57,24
353,2026-09-08,12,75
354,2026-03-09,66,63
355,2026-10-14,60,96
356,2026-07-22,33,10
357,2026-01-24,55,54
358,2026-01-31,9,70
359,2026-04-03,99,27
360,2026-07-11,49,67
361,2026-12-16,85,79
362,2026-03-02,23,78
363,2026-04-25,1,12
364,2026-08-06,69,58
365,2026-06-27,20,45
366,2026-01-17,85,63
367,2026-05-04,27,18
368,2026-08-17,77,96
369,2026-01-23,52,66
370,2026-01-29,18,74
371,2026-06-13,74,86
372,2026-06-04,19,94
373,2026-06-03,36,17
374,2026-11-17,87,64
375,2026-06-26,83,95
376,2026-12-23,54,62
377,2026-04-05,97,78
378,2026-06-03,91,28
379,2026-07-31,54,81
380,2026-05-05,33,36
381,2026-08-19,48,21
382,2026-01-27,35,58
383,2026-01-21,10,34
384,2026-04-22,62,36
385,2026-04-19,25,25
386,2026-12-27,27,60
387,2026-05-25,49,69
388,2026-06-07,34,56
389,2026-02-20,93,70
390,2026-06-10,53,15
391,2026-01-09,34,80
392,2026-06-01,20,35
393,2026-10-19,32,73
394,2026-05-12,98,72
395,2026-08-24,22,55
396,2026-09-08,24,79
397,2026-01-18,10,95
398,2026-07-31,18,90
399,2026-01-05,28,74
400,2026-11-13,82,95
401,2026-01-09,1,78
402,2026-01-09,68,45
403,2026-09-15,90,96
404,2026-02-19,68,29
405,2026-09-27,33,55
406,2026-07-11,52,68
407,2026-06-03,88,20
408,2026-02-17,52,58
409,2026-01-29,82,11
410,2026-09-13,56,92
411,2026-09-28,6,39
412,2026-09-01,35,15
413,2026-10-06,73,94
414,2026-01-09,27,85
415,2026-02-09,39,30
416,2026-07-19,87,79
417,2026-12-19,93,20
418,2026-01-28,13,65
419,2026-11-06,99,88
420,2026-01-16,82,44
421,2026-07-02,71,58
422,2026-12-05,49,20
423,2026-02-07,11,44
424,2026-07-19,41,56
425,2026-06-07,57,56
426,2026-02-14,24,65
427,2026-09-20,53,23
428,2026-10-11,12,86
429,2026-01-07,38,62
430,2026-10-14,32,83
431,2026-03-28,18,44
432,2026-03-16,9,31
433,2026-06-03,62,19
434,2026-11-17,64,86
435,2026-02-24,18,48
436,2026-11-14,49,52
437,2026-11-30,77,27
438,2026-12-22,26,71
439,2026-06-13,38,98
440,2026-05-05,42,58
441,2026-02-28,73,35
442,2026-12-16,99,80
443,2026-12-29,27,66
444,2026-07-29,87,73
445,2026-05-04,33,94
446,2026-07-13,10,67
447,2026-07-25,69,74
448,2026-01-19,47,99
449,2026-02-25,99,41
450,2026-03-27,83,88
451,2026-06-19,56,23
452,2026-04-24,66,76
453,2026-04-24,58,57
454,2026-12-20,65,29
455,2026-02-23,38,63
456,2026-06-28,40,53
457,2026-09-05,45,70
458,2026-06-13,9,48
459,2026-01-12,44,92
460,2026-05-05,67,32
461,2026-10-14,55,69
462,2026-04-06,82,94
463,2026-11-11,26,67
464,2026-01-03,91,37
465,2026-10-23,14,78
466,2026-04-11,59,24
467,2026-09-28,82,50
468,2026-07-20,76,24
469,2026-11-13,23,96
470,2026-10-30,11,96
471,2026-05-03,40,24
472,2026-09-19,50,63
473,2026-07-16,55,33
474,2026-12-22,83,32
475,2026-05-28,18,33
476,2026-01-28,46,11
477,2026-07-16,72,74
478,2026-12-17,63,63
479,2026-03-27,11,82
480,2026-05-30,5,45
481,2026-03-28,100,68
482,2026-10-09,66,24
483,2026-10-06,47,79
484,2026-10-07,28,64
485,2026-06-02,5,67
486,2026-08-13,16,40
487,2026-12-19,45,100
488,2026-03-26,79,27
489,2026-10-19,45,78
490,2026-03-28,42,100
491,2026-05-17,66,96
492,2026-01-31,36,93
493,2026-05-08,19,51
494,2026-09-08,19,83
495,2026-07-12,58,19
496,2026-07-26,66,45
497,2026-09-07,42,84
498,2026-08-23,82,95
499,2026-10-01,51,37
500,2026-05-18,42,46
